Latitude,Longitude
-7.355511754,112.774303894
-7.355511135,112.774292037
-7.355511135,112.774292037
-7.355511135,112.774292037
-7.355519035,112.774288531
-7.355511135,112.774292037
-7.355511135,112.774292037
-7.355511135,112.774292037
-7.355511135,112.774292037
-7.355511135,112.774292037
-7.355511135,112.774292037
-7.355510068,112.774288531
-7.355511135,112.774292037
-7.355511135,112.774292037
-7.355511135,112.774292037
-7.355511135,112.774292037
-7.355510068,112.774288531
-7.355510068,112.774288531
-7.355510068,112.774288531
-7.355510068,112.774288531
-7.355510068,112.774288531
-7.355509,112.774285025
-7.355517968,112.774285025
-7.355517968,112.774285025
-7.355517968,112.774285025
-7.355517968,112.774285025
-7.355518416,112.774276674
-7.355518416,112.774276674
-7.355518416,112.774276674
-7.355518416,112.774276674
-7.355518416,112.774276674
-7.355518416,112.774276674
-7.355517968,112.774285025
-7.355517968,112.774285025
-7.35551752,112.774293376
-7.35551752,112.774293376
-7.35551752,112.774293376
-7.35551752,112.774293376
-7.35551752,112.774293376
-7.35551752,112.774293376
-7.355508552,112.774293376
-7.355508552,112.774293376
-7.355508552,112.774293376
-7.35551752,112.774293376
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355517072,112.774301727
-7.355516452,112.77428987
-7.355516452,112.77428987
-7.355516452,112.77428987
-7.35552542,112.77428987
-7.355534388,112.77428987
-7.355543804,112.774281519
-7.355543804,112.774281519
-7.355543804,112.774281519
-7.355543804,112.774281519
-7.35555322,112.774273168
-7.35555322,112.774273168
-7.35555322,112.774273168
-7.35555322,112.774273168
-7.35555322,112.774273168
-7.355562187,112.774273168
-7.355561568,112.774261311
-7.355561568,112.774261311
-7.355561568,112.774261311
-7.355561568,112.774261311
-7.355553048,112.774252959
-7.355553048,112.774252959
-7.355553048,112.774252959
-7.355553048,112.774252959
-7.355553048,112.774252959
-7.355553048,112.774252959
-7.355543633,112.774261311
-7.355543633,112.774261311
-7.355543633,112.774261311
-7.355543633,112.774261311
-7.355543633,112.774261311
-7.355525868,112.774281519
-7.355525868,112.774281519
-7.355525868,112.774281519
-7.355525868,112.774281519
-7.355525868,112.774281519
-7.355525868,112.774281519
-7.355525868,112.774281519
-7.355525868,112.774281519
-7.355525868,112.774281519
